op_id	desc	proc	level
0	Operation <0>		
1	toplevel [primary] <1>	CPU Processor 0x1d00000000000001	2
3	Pending Partition Operation <3>		
4	initialize_graph [primary] <4>	CPU Processor 0x1d00000000000001	3
5	Dependent Partition Operation <5>		
6	Pending Partition Operation <6>		
7	Dependent Partition Operation <7>		
8	Fence Operation <8>		
9	__unary_bool_not [primary] <9>	CPU Processor 0x1d00000000000001	3
10	__binary_int32_int32_+ [primary] <10>	CPU Processor 0x1d00000000000002	2
11	update_cont <11>		
12	update_ranks <12>		
13	update_sum <13>		
14	__binary_int32_uint32_>= [primary] <14>	CPU Processor 0x1d00000000000001	3
15	Merge Close Operation <15>		
16	Merge Close Operation <16>		
17	update_cont <17>		
18	update_cont <18>		
19	update_cont <19>		
20	update_cont <20>		
21	update_cont [primary] <21>	CPU Processor 0x1d00000000000001	3
22	l2_norm [primary] <22>	CPU Processor 0x1d00000000000001	3
23	__binary_double_double_< [primary] <23>	CPU Processor 0x1d00000000000001	3
24	Merge Close Operation <24>		
25	update_cont [primary] <25>	CPU Processor 0x1d00000000000001	3
26	update_cont [primary] <26>	CPU Processor 0x1d00000000000001	3
27	update_cont [primary] <27>	CPU Processor 0x1d00000000000001	3
28	update_ranks <28>		
29	update_ranks <29>		
30	update_ranks <30>		
31	update_ranks <31>		
32	update_ranks [primary] <32>	CPU Processor 0x1d00000000000003	2
33	update_ranks [primary] <33>	CPU Processor 0x1d00000000000002	2
34	update_ranks [primary] <34>	CPU Processor 0x1d00000000000001	3
35	update_ranks [primary] <35>	CPU Processor 0x1d00000000000002	2
36	update_sum <36>		
37	update_sum <37>		
38	update_sum <38>		
39	update_sum <39>		
40	update_sum [primary] <40>	CPU Processor 0x1d00000000000002	2
41	update_sum [primary] <41>	CPU Processor 0x1d00000000000001	3
42	update_sum [primary] <42>	CPU Processor 0x1d00000000000003	2
43	update_sum [primary] <43>	CPU Processor 0x1d00000000000002	2
44	update_prev_rank <44>		
45	__unary_bool_not [primary] <45>	CPU Processor 0x1d00000000000001	3
46	update_prev_rank <46>		
47	update_prev_rank <47>		
48	update_prev_rank <48>		
49	update_prev_rank <49>		
50	update_prev_rank [primary] <50>	CPU Processor 0x1d00000000000001	3
51	__binary_int32_int32_+ [primary] <51>	CPU Processor 0x1d00000000000001	3
52	update_cont <52>		
53	update_ranks <53>		
54	update_sum <54>		
55	__binary_int32_uint32_>= [primary] <55>	CPU Processor 0x1d00000000000001	3
56	Merge Close Operation <56>		
57	Merge Close Operation <57>		
58	Merge Close Operation <58>		
59	Merge Close Operation <59>		
60	update_prev_rank [primary] <60>	CPU Processor 0x1d00000000000001	3
61	update_prev_rank [primary] <61>	CPU Processor 0x1d00000000000001	3
62	update_prev_rank [primary] <62>	CPU Processor 0x1d00000000000001	3
63	update_cont <63>		
64	update_cont <64>		
65	update_cont <65>		
66	update_cont <66>		
67	l2_norm [primary] <67>	CPU Processor 0x1d00000000000001	3
68	update_cont [primary] <68>	CPU Processor 0x1d00000000000001	3
69	__binary_double_double_< [primary] <69>	CPU Processor 0x1d00000000000001	3
70	Merge Close Operation <70>		
71	update_cont [primary] <71>	CPU Processor 0x1d00000000000002	2
72	update_cont [primary] <72>	CPU Processor 0x1d00000000000001	3
73	update_cont [primary] <73>	CPU Processor 0x1d00000000000001	3
74	update_ranks <74>		
75	update_ranks <75>		
76	update_ranks <76>		
77	update_ranks <77>		
78	update_ranks [primary] <78>	CPU Processor 0x1d00000000000001	3
79	update_ranks [primary] <79>	CPU Processor 0x1d00000000000002	2
80	update_ranks [primary] <80>	CPU Processor 0x1d00000000000001	3
81	update_ranks [primary] <81>	CPU Processor 0x1d00000000000001	3
82	update_sum <82>		
83	update_sum <83>		
84	update_sum <84>		
85	update_sum <85>		
86	update_sum [primary] <86>	CPU Processor 0x1d00000000000001	3
